CONTROL,JAGE,JCITSHP,JENROLL,JFAMLINE,JFAMREL,JFAMTYP,JGRAD,JINTP,JINUSYR,JMAR,JMIL,JMLPA,JMLPB,JMLPCD,JMLPE,JMLPFG,JMLPH,JMLPI,JMLPJ,JMLPK,JMOVE,JMOVERGRP,JNATVTY,JOIP,JPAP,JPCARE,JPDTHSP,JPERRND,JPHEAR,JPMEMRY,JPSCATTEND,JPSCDEGREE,JPSCENROLL,JPSCLIVE,JPSCPUBPR,JPSCSTATUS,JPSEE,JPWALK,JRACE,JRACEAS,JRACEPI,JREL,JRESPONDENT,JRETP,JSEMP,JSEX,JSPAN,JSSIP,JSSP,JWAGP,PLINE,PSCATTEND,PSCDEGREE,PSCLIVE,PSCPUBPR,INUSYR,NATVTY,AGE,MAR,SEX,MOVE,SPAN,PHEAR,PSEE,PMEMRY,PWALK,PCARE,PERRND,CITSHP,FAMTYP,FAMREL,RACE,RACEAS,RACEPI,RESPONDENT,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,GRAD,PDTHSP,PERSONID,SPOUSE,FIRPARENT,SECPARENT,FAMLINE,WAGP,SEMP,SSP,SSIP,PAP,RETP,INTP,OIP,PSCENROLL,PSCSTATUS,ENROLL,REL,MOVERGRP
'11000001','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2',1,'-6','-6','-6','-6',-6,'057',52,'1','1',2000,'2','2','2','2','2','2','2','1','1','1','01','-6','-6','1','3','-6','-6','-6','-6','-6','-6','-6','-6','-6','44','-6','11000001001',2,-6,-6,'1',69000,0,0,0,0,0,0,6000,'-6','-6','-6','01','-6'
'11000001','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2',2,'-6','-6','-6','-6',-6,'057',51,'1','2',2000,'2','2','2','2','2','2','2','1','1','2','01','-6','-6','2','3','-6','-6','-6','-6','-6','-6','-6','-6','-6','40','-6','11000001002',1,-6,-6,'1',150000,0,0,0,0,0,0,0,'-6','-6','-6','03','-6'
'11000001','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2',3,'-6','-6','-6','-6',-6,'057',19,'6','2',2000,'2','2','2','2','2','2','2','1','1','3','01','-6','-6','2','3','-6','-6','-6','-6','-6','-6','-6','-6','-6','40','-6','11000001003',-6,2,1,'1',32000,0,0,0,0,0,0,0,'-6','-6','-6','04','-6'
'11000002','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',1,'-6','-6','-6','-6',-6,'057',80,'4','2',2005,'2','2','2','2','1','2','2','1','2','0','01','-6','-6','1','3','-6','-6','-6','-6','-6','-6','-6','-6','-6','44','-6','11000002001',-6,-6,-6,'0',0,0,24000,0,0,0,177000,0,'-6','-6','-6','02','-6'
'11000002','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',2,'-6','-6','-6','-6',-6,'057',80,'3','1',2007,'2','2','1','2','2','2','2','1','5','0','01','-6','-6','2','2','2','2','2','1','2','2','2','2','2','39','-6','11000002002',-6,-6,-6,'0',0,0,-6,-6,-6,-6,-6,0,'-6','-6','-6','11','-6'
'11000005','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',1,'-6','-6','-6','-6',-6,'057',72,'1','1',1995,'2','2','2','2','2','2','2','1','1','1','01','-6','-6','1','2','2','2','2','1','2','2','2','2','2','47','-6','11000005001',2,-6,-6,'1',0,0,25100,0,0,22800,6000,0,'4','-6','2','01','-6'
'11000005','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',2,'-6','-6','-6','-6',-6,'057',71,'1','2',1995,'2','2','2','2','1','2','2','1','1','2','01','-6','-6','2','3','-6','-6','-6','-6','-6','-6','-6','-6','-6','44','-6','11000005002',1,-6,-6,'1',0,0,13000,0,0,0,0,0,'4','-6','2','03','-6'
'11000008','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',1,'-6','-6','-6','-6',-6,'057',60,'6','2',2019,'2','2','2','2','2','2','2','1','2','0','02','-6','-6','1','3','-6','-6','-6','-6','-6','-6','-6','-6','-6','40','-6','11000008002',-6,-6,-6,'0',35000,0,0,0,0,0,0,0,'4','-6','2','02','1'
'11000010','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',1,'-6','-6','-6','-6',-6,'057',80,'3','2',1939,'2','1','2','2','2','2','2','1','1','1','01','-6','-6','1','3','-6','-6','-6','-6','-6','-6','-6','-6','-6','39','-6','11000010002',-6,-6,-6,'1',0,0,12000,0,0,0,0,0,'4','-6','2','01','-6'
